symbol,period_ending,total_revenue,cost_of_revenue,gross_profit,research_and_development,"sales,_general_and_admin.",non-recurring_items,other_operating_items,operating_income,add'l_income/expense_items,earnings_before_interest_and_tax,interest_expense,earnings_before_tax,income_tax,minority_interest,equity_earnings/loss_unconsolidated_subsidiary,net_income-cont._operations,net_income,net_income_applicable_to_common_shareholders
a,31-10-2022,6848000,3126000,3722000,467000,1637000,215156,534329,1618000,-30000,1588000,84000,1504000,250000,75630,-32034,1254000,1254000,1254000
a,31-10-2021,6319000,2912000,3407000,441000,1619000,215156,534329,1347000,94000,1441000,81000,1360000,150000,75630,-32034,1210000,1210000,1210000
a,31-10-2020,5339000,2502000,2837000,495000,1496000,215156,534329,846000,74000,920000,78000,842000,123000,75630,-32034,719000,719000,719000
a,31-10-2019,5163000,2358000,2805000,404000,1460000,215156,534329,941000,52000,993000,74000,919000,-152000,75630,-32034,1071000,1071000,1071000
aa,31-12-2022,12451000,10212000,2239000,32000,204000,696000,617000,690000,118000,808000,106000,702000,664000,75630,-161000,-123000,-123000,-123000
aa,31-12-2021,12152000,9153000,2999000,31000,227000,1128000,664000,949000,445000,1394000,195000,1199000,629000,75630,-141000,429000,429000,429000
aa,31-12-2020,9286000,7969000,1317000,27000,206000,104000,653000,327000,-8000,319000,146000,173000,187000,75630,-156000,-170000,-170000,-170000
aa,31-12-2019,10433000,8537000,1896000,27000,280000,1031000,713000,-155000,-162000,-317000,121000,-438000,415000,75630,-272000,-1125000,-1125000,-1125000
AAC,31-12-2022,4885368,3188738,1963046,270736,7343,215156,534329,-7343,28326,20984,155791,20984,136211,75630,-32034,20984,20984,20984
AAC,31-12-2021,4885368,3188738,1963046,270736,6462,215156,534329,-6462,22311,15849,155791,15849,136211,75630,-32034,15849,15849,15849
AAC,31-12-2020,4885368,3188738,1963046,270736,14,215156,534329,-14,41948,-14,155791,-14,136211,75630,-32034,-14,-14,-14
AACG,31-12-2022,29751,15006,14745,977,21908,215156,534329,-8140,189,-7842,155791,-7842,-852,75630,101,-6889,-6889,-6889
AACG,31-12-2021,31727,15285,16443,1852,25008,215156,534329,-10417,4288,-5954,155791,-5954,-242,75630,433,-5280,-5280,-5280
AACG,31-12-2020,24797,15065,9732,1351,23436,1380,534329,-16435,-695,-16951,155791,-16951,-1570,75630,1282,-14098,-14098,-14098
AACG,31-12-2019,14036,8888,5147,1696,16574,3785,534329,-16907,-3843,-20280,155791,-20280,-1026,75630,1000,-19253,-17551,-17551
AACI,30-09-2022,4885368,3188738,1963046,270736,112,4391,534329,-4503,1026,-3477,155791,-3477,146,75630,-32034,-3623,-3623,-3623
AACI,07-01-2021,4885368,3188738,1963046,270736,932530,215156,534329,478735,41948,605476,155791,462104,136211,75630,-32034,367173,362415,356400
AACIU,30-09-2022,4885368,3188738,1963046,270736,112,4391,534329,-4503,1026,-3477,155791,-3477,146,75630,-32034,-3623,-3623,-3623
AACIU,07-01-2021,4885368,3188738,1963046,270736,932530,215156,534329,478735,41948,605476,155791,462104,136211,75630,-32034,367173,362415,356400
AACIW,30-09-2022,4885368,3188738,1963046,270736,112,4391,534329,-4503,1026,-3477,155791,-3477,146,75630,-32034,-3623,-3623,-3623
AACIW,07-01-2021,4885368,3188738,1963046,270736,932530,215156,534329,478735,41948,605476,155791,462104,136211,75630,-32034,367173,362415,356400
AADI,31-12-2022,15216,1335,13881,32662,40176,3724,534329,-62681,2398,-60283,230,-60513,136211,75630,-32034,-60513,-60513,-60513
